Name,Type,Primary Mechanism / Class
Testosterone Base,Steroid (AAS),Unesterified Anabolic-Androgenic Steroid
Testosterone Acetate,Steroid (AAS),Short-Ester Testosterone Derivative
Testosterone Propionate,Steroid (AAS),Short-Ester Testosterone Derivative
Testosterone Phenylpropionate,Steroid (AAS),Medium-Ester Testosterone Derivative
Testosterone Isocaproate,Steroid (AAS),Medium-Ester Testosterone Derivative
Testosterone Enanthate,Steroid (AAS),Long-Ester Testosterone Derivative
Testosterone Cypionate,Steroid (AAS),Long-Ester Testosterone Derivative
Testosterone Decanoate,Steroid (AAS),Long-Ester Testosterone Derivative
Testosterone Undecanoate,Steroid (AAS),Ultra-Long-Ester Testosterone Derivative
Nandrolone Base,Steroid (AAS),19-Nor Progestogenic Derivative
Nandrolone Phenylpropionate (NPP),Steroid (AAS),Short-Ester 19-Nor Derivative
Nandrolone Decanoate (Deca),Steroid (AAS),Long-Ester 19-Nor Derivative
Nandrolone Cypionate,Steroid (AAS),Long-Ester 19-Nor Derivative
Nandrolone Undecanoate,Steroid (AAS),Ultra-Long-Ester 19-Nor Derivative
Trenbolone Base,Steroid (AAS),19-Nor Powerful Receptor Binder
Trenbolone Acetate,Steroid (AAS),Short-Ester Trenbolone Derivative
Trenbolone Enanthate,Steroid (AAS),Long-Ester Trenbolone Derivative
Trenbolone Hexahydrobenzylcarbonate,Steroid (AAS),Parabolan / Long-Ester 19-Nor
Boldenone Base,Steroid (AAS),Testosterone Derivative (Low Aromatization)
Boldenone Undecylenate (Equipoise),Steroid (AAS),Long-Ester Boldenone Derivative
Boldenone Acetate,Steroid (AAS),Short-Ester Boldenone Derivative
Boldenone Cypionate,Steroid (AAS),Medium-Ester Boldenone Derivative
Drostanolone Propionate (Masteron P),Steroid (AAS),Short-Ester DHT Derivative
Drostanolone Enanthate (Masteron E),Steroid (AAS),Long-Ester DHT Derivative
Methenolone Enanthate (Primobolan Depot),Steroid (AAS),Long-Ester DHT Derivative
Methenolone Acetate (Oral Primo),Steroid (AAS),Oral DHT Derivative
Methandrostenolone (Dianabol),Steroid (AAS),17aa Oral Testosterone Derivative
Oxandrolone (Anavar),Steroid (AAS),17aa Oral DHT Derivative
Stanozolol Oral (Winstrol),Steroid (AAS),17aa Oral DHT Derivative
Stanozolol Injectable (Winstrol V),Steroid (AAS),Water-Suspension DHT Derivative
Oxymetholone (Anadrol),Steroid (AAS),17aa Oral Potent DHT Variant
Fluoxymesterone (Halotestin),Steroid (AAS),17aa Oral Highly Androgenic
Chlorodehydromethyltestosterone (Tbol),Steroid (AAS),17aa Oral Cross-Derivative
Mesterolone (Proviron),Steroid (AAS),Oral Active Non-17aa DHT
Methyltestosterone,Steroid (AAS),Early 17aa Synthetic Testosterone
Trestolone Acetate (MENT),Steroid (AAS),Ultra-Potent Experimental 19-Nor
Dimethandrostenolone (DMAA Steroid),Steroid (AAS),Experimental Synthetic Androgen
Metribolone (Methyltrienolone),Steroid (AAS),Highly Toxic Oral Trenbolone Variant
Formebolone,Steroid (AAS),Synthetic Anabolic Modified Steroid
Furazabol,Steroid (AAS),Stanozolol-Related Oral DHT Derivative
Mebolazine (Dimethazine),Steroid (AAS),Azine-Linked Dymethazine Prohormone
Methasterone (Superdrol),Steroid (AAS),Potent 17aa Oral DHT Prohormone
Epiandrosterone,Steroid (AAS),Natural DHEA Metabolite / Prohormone
1-Testosterone (Dihydroboldenone),Steroid (AAS),5-Alpha Reduced Boldenone Variant
1-Androstenedione,Steroid (AAS),Prohormone Precursor to 1-Testosterone
4-Androstenedione,Steroid (AAS),Direct Testosterone Prohormone Precursor
Desoxymethyltestosterone (Madol),Steroid (AAS),Designer Anabolic Steroid
Norboletone,Steroid (AAS),Early Generation Designer 19-Nor
Tetrahydrogestrinone (THG / The Clear),Steroid (AAS),Highly Modified Designer Progestin
Calusterone,Steroid (AAS),Orally Active Methylated Steroid
Bolasterone,Steroid (AAS),Highly Potent Methylated Anabolic Agent
Stenbolone Acetate,Steroid (AAS),Alpha-Methylated DHT Ester Derivative
Drostanolone Base,Steroid (AAS),Unesterified Dihydrotestosterone Variant
Ethilesestrenol,Steroid (AAS),Orally Active Progestogenic Anabolic
Oxymesterone,Steroid (AAS),Hydroxylated Methyltestosterone Variant
Clostebol Acetate,Steroid (AAS),Chlorinated Testosterone Ester Variant
Quinbolone,Steroid (AAS),Boldenone Cyclopentenyl Ether Variant
Mestanolone,Steroid (AAS),Methylated Dihydrotestosterone Variant
Methandriol Dipropionate,Steroid (AAS),Estric Derivative Injection Compound
BPC-157,Peptide,Gastric Pentadecapeptide Tissue Repair Agent
TB-500 (Thymosin Beta-4 Full),Peptide,Cell Migration & Angiogenesis Sequence
TB-4 Fragment (Ac-SDKP),Peptide,Targeted Tissue Regeneration Sequence
Ipamorelin,Peptide,Selective GHRP Ghrelin Agonist
GHRP-2,Peptide,Growth Hormone Releasing Peptide (Mild Hunger)
GHRP-6,Peptide,Growth Hormone Releasing Peptide (High Hunger)
Hexarelin,Peptide,Potent Desensitizing GHRP Sequence
Sermorelin,Peptide,Short-Chain GHRH Analog (29 Amino Acids)
Mod GRF 1-29 (CJC-1295 No DAC),Peptide,Tetrasubstituted GHRH Direct Pulsing
CJC-1295 with DAC,Peptide,Extended Half-Life GHRH Affinity Complex
Tesamorelin,Peptide,Lipodystrophy-Targeted GHRH Analog
Human Growth Hormone (Somatropin),Peptide,Recombinant 191-Amino Acid HGH
HGH Fragment 176-191,Peptide,Lipolytic C-Terminal Domain Fragment
AOD9604,Peptide,Modified HGH Lipolytic Fragment Variant
Melanotan I,Peptide,Linear Alpha-MSH Receptor Agonist
Melanotan II,Peptide,Cyclic Alpha-MSH Agonist (Melanogenesis/Libido)
PT-141 (Bremelanotide),Peptide,Central Nervous System Erectile Agonist
Epitalon (Epithalon),Peptide,Pineal Gland Telomerase Activator
Pinealon,Peptide,Short Bioregulator Neuro-Protective Sequence
Thymalin,Peptide,Thymic Immune System Regulatory Peptide
Cortexin,Peptide,Cerebral Cortex Extract Bioregulator
Cardarine (GW-501516),SARM/PPAR,PPAR-Delta Receptor Agonist (Endurance)
Stenabolic (SR-9009),SARM/Rev-ErbA,Rev-ErbA Alpha Agonist (Circadian/Metabolic)
Ostarine (MK-2866),SARM,Selective Androgen Receptor Modulator
Ligandrol (LGD-4033),SARM,Selective Androgen Receptor Modulator (Anabolic)
Radarine (RAD-140),SARM,Highly Neuro-Protective Androgen Modulator
Andarine (S-4),SARM,Early Generation Ocular-Binding SARM
S-23,SARM,Highly Suppressive Orally Active SARM Variant
LGD-3303,SARM,Potent Dry-Gain Selective Androgen Modulator
YK-11,SARM,Steroidal Myostatin Inhibitor SARM Hybrid
MK-677 (Ibutamoren),GHS (Non-Peptide),Oral Ghrelin Receptor Mimetic
Clenbuterol,Metabolic Agent,Beta-2 Adrenergic Receptor Agonist
Albuterol (Salbutamol),Metabolic Agent,Short-Acting Beta-2 Agonist
Ephedrine HCl,Metabolic Agent,Alpha/Beta Adrenergic Receptor Stimulant
Liothyronine Sodium (T3),Metabolic Agent,Exogenous Active Thyroid Hormone
Levothyroxine Sodium (T4),Metabolic Agent,Exogenous Storage Thyroid Hormone
Dinitrophenol (2,4-DNP),Metabolic Agent,Mitochondrial Uncoupling Agent (Dangerous)
Semaglutide,GLP-1 Peptide,Glucagon-Like Peptide-1 Agonist (Appetite)
Tirzepatide,GLP-1/GIP Peptide,Dual Incretin Receptor Mimetic
Retatrutide,Triple Agonist,GLP-1 / GIP / Glucagon Receptor Agonist
Anastrozole (Arimidex),Ancillary (AI),Type II Reversible Aromatase Inhibitor
Letrozole (Femara),Ancillary (AI),Potent Type II Reversible AI
Exemestane (Aromasin),Ancillary (AI),Type I Irreversible Suicidal AI
Tamoxifen Citrate (Nolvadex),Ancillary (SERM),Selective Estrogen Receptor Modulator
Clomiphene Citrate (Clomid),Ancillary (SERM),Pituitary Feedback Blocker / SERM
Raloxifene (Evista),Ancillary (SERM),Bone/Breast Target-Specific SERM
Toremifene Citrate (Fareston),Ancillary (SERM),Triphenylethylene Class SERM
Human Chorionic Gonadotropin (hCG),Ancillary,LH Mimetic Glycoprotein Hormone
Human Menopausal Gonadotropin (hMG),Ancillary,Direct LH and FSH Extract Mixture
Recombinant FSH (Gonal-F),Ancillary,Pure Follicle-Stimulating Hormone
Cabergoline (Dostinex),Ancillary,Dopamine D2 Receptor Agonist (Prolactin)
Pramipexole (Mirapex),Ancillary,Dopamine Agonist (Prolactin Suppressor)
Bromocriptine,Ancillary,Ergot-Derived Dopamine Agonist
Finasteride,Ancillary (5alpha-IR),Type II 5-Alpha Reductase Inhibitor
Dutasteride,Ancillary (5alpha-IR),Type I and II 5-Alpha Reductase Inhibitor
RU58841,Ancillary (Topical),Non-Steroidal Topical Anti-Androgen
CB-03-01 (Breezula),Ancillary (Topical),Topical Corticosteroid-Based Anti-Androgen
Avelumab,Peptide,Monoclonal Antibody Immune Checkpoint
IGF-1 DES,Peptide,Truncated Rapidly Acting Insulin Growth Factor
IGF-1 LR3,Peptide,Long-Acting Extended Half-Life IGF Variant
Mechano Growth Factor (MGF),Peptide,Splice Variant of IGF-1 (Local Tissue)
PEG-MGF,Peptide,Pegylated Stabilized Mechano Growth Factor
Follistatin 344,Peptide,Myostatin Binding Glycoprotein Sequence
Follistatin 315,Peptide,Systemic Circulating Myostatin Inhibitor
ACE-031,Protein Therapeutic,ActRIIB Receptor Fusion Protein (Myostatin)
